project,s_size,s_experienced,s_inexperienced
Processed_data/role-strategy-plugin_final_results.pkl,36,0.36,0.33
Processed_data/scm-sync-configuration-plugin_final_results.pkl,21,0.72,1.0
Processed_data/prettytime_final_results.pkl,73,0.22,1.0
Processed_data/violations-plugin_final_results.pkl,43,0.15,0.5
Processed_data/artifactory-plugin_final_results.pkl,73,0.14,1.0
Processed_data/subversion-plugin_final_results.pkl,80,0.14,0.39
Processed_data/solr-for-wordpress_final_results.pkl,13,0.53,0.26
Processed_data/logplex_final_results.pkl,34,0.52,0.43
Processed_data/cobertura-plugin_final_results.pkl,54,0.64,0.43
Processed_data/buddypress-group-email-subscription_final_results.pkl,17,0.34,0.7
Processed_data/github-plugin_final_results.pkl,62,0.36,0.4
Processed_data/tfs-plugin_final_results.pkl,36,0.73,0.42
